1	0	0			
2	83	83			
3	174	91			
4	276	102			
5	388	112			
6	512	124			
7	650	138			
8	801	151			
9	969	168			
10	1,154	185			
11	1,358	204			
12	1,584	226			
13	1,833	249			
14	2,107	274			
15	2,411	304			
16	2,746	335			
17	3,115	369			
18	3,523	408			
19	3,973	450			
20	4,470	497
21	5,018	548			
22	5,624	606			
23	6,291	667			
24	7,028	737			
25	7,842	814			
26	8,740	898
27	9,730	990
28	10,824	1,094			
29	12,031	1,207			
30	13,363	1,332			
31	14,833	1,47			
32	16,456	1,623			
33	18,247	1,791			
34	20,224	1,977			
35	22,406	2,182			
36	24,815	2,409			
37	27,473	2,658			
38	30,408	2,935			
39	33,648	3,24			
40	37,224	3,576			
41	41,171	3,947			
42	45,529	4,358			
43	50,339	4,81			
44	55,649	5,31			
45	61,512	5,863			
46	67,983	6,471			
47	75,127	7,144			
48	83,014	7,887			
49	91,721	8,707			
50	101,333	9,612			
51	111,945	10,612			
52	123,660	11,715			
53	136,594	12,934			
54	150,872	14,278			
55	166,636	15,764			
56	184,040	17,404			
57	203,254	19,214			
58	224,466	21,212			
59	247,886	23,42			
60	273,742	25,856			
61	302,288	28,546			
62	333,804	31,516			
63	368,599	34,795			
64	407,015	38,416			
65	449,428	42,413			
66	496,254	46,826			
67	547,953	51,699			
68	605,032	57,079			
69	668,051	63,019			
70	737,627	69,576			
71	814,445	76,818			
72	899,257	84,812			
73	992,895	93,638			
74	1,096,278 	103,383			
75	1,210,421 	114,143			
76	1,336,443 	126,022			
77	1,475,581 	139,138			
78	1,629,200 	153,619			
79	1,798,808 	169,608			
80	1,986,068 	187,26			
81	2,192,818 	206,75			
82	2,421,087 	228,269			
83	2,673,114 	252,027			
84	2,951,373 	278,259			
85	3,258,594 	307,221			
86	3,597,792 	339,198			
87	3,972,294 	374,502			
88	4,385,776 	413,482			
89	4,842,295 	456,519			
90	5,346,332 	504,037			
91	5,902,831 	556,499			
92	6,517,253 	614,422			
93	7,195,629 	678,376			
94	7,944,614 	748,985			
95	8,771,558 	826,944			
96	9,684,577 	913,019			
97	10,692,629 	1,008,052			
98	11,805,606 	1,112,977			
99	13,034,431 	1,228,825			
100	14,391,160	1,356,729			
101	15,889,109	1,497,949			
102	17,542,976	1,653,867			
103	19,368,992	1,826,016			
104	21,385,073	2,016,081			
105	23,611,006	2,225,933			
106	26,068,632	2,457,626			
107	28,782,069	2,713,437			
108	31,777,943	2,995,874			
109	35,085,654	3,307,711			
110	38,737,661	3,652,007			
111	42,769,801	4,032,140			
112	47,221,641	4,451,840			
113	52,136,869	4,915,228			
114	57,563,718	5,426,849			
115	63,555,443	5,991,725			
116	70,170,840	6,615,397			
117	77,474,828	7,303,988			
118	85,539,082	8,064,254			
119	94,442,737	8,903,655			
120	104,273,167	9,830,430			
121	115,126,838	10,853,671			
122	127,110,260	11,983,422			
123	140,341,028	13,230,768			
124	154,948,977	14,607,949			
125	171,077,457	16,128,480			
126	188,884,740	17,807,283			
127	200,000,000	11,115,260			
